,rep_0,rep_1
A0A096LP49_CCDC187,,
A0AV96_RBM47,0.18232113763882923,0.0
A0AVT1_UBA6,0.0,
A0FGR8_ESYT2,0.06862635163075165,0.2537802831840251
A0JLT2_MED19,0.0,
A0JNW5_UHRF1BP1L,0.0,0.36660605559646714
A0MZ66_SHTN1,0.4330127018922193,0.3333333333333333
A1A4G5_LNP1,0.0,0.0
A1A4S6_ARHGAP10,,0.47140452079103173
A1A5D9_BICDL2,,
A1KXE4_FAM168B,,
A1L170_C1orf226,,
A1L390_PLEKHG3,0.4330127018922193,0.49487165930539345
A1X283_SH3PXD2B,0.47186465220442186,0.37749172176353746
A1YPR0_ZBTB7C,,
A2A2Y4_FRMD3,,
A2A3K4_PTPDC1,0.47140452079103173,0.4330127018922193
A2AJT9_BCLAF3,,
A2RRP1_NBAS,0.25,0.3333333333333333
A2RU30_TESPA1,0.47140452079103173,
A2RU67_FAM234B,,0.4330127018922193
A2RUS2_DENND3,,0.7071067811865476
A3KN83_SBNO1,0.3464101615137754,
A4D1P6_WDR91,,0.0
A4D1S0_KLRG2,,
A4D2B0_MBLAC1,,
A4FU49_SH3D21,,
A5YKK6_CNOT1,,
A5YM69_ARHGEF35,0.3464101615137754,0.5
A6NC98_CCDC88B,0.10825317547305485,0.3149183286488868
A6ND36_FAM83G,0.3333333333333333,0.6666666666666666
A6NDB9_PALM3,0.9326427425370879,0.5412658773652742
A6NEL2_SOWAHB,0.0,0.0
A6NEQ2_FAM181B,,
A6NFI3_ZNF316,0.24743582965269678,0.0
A6NGE4_DCAF8L1,,
A6NHL2_TUBAL3,,
A6NIX2_WTIP,,
A6NKD9_CCDC85C,0.458257569495584,0.6614378277661477
A6NKF1_SAC3D1,,
A6QL63_BTBD11,,
A7E2V4_ZSWIM8,,
A7KAX9_ARHGAP32,0.47140452079103173,0.7071067811865476
A8CG34_POM121C,,
A8MVS5_HIDE1,,
A8MVW0_FAM171A2,,
B0I1T2_MYO1G,0.47140452079103173,0.47140452079103173
B0YJ81_HACD1,,
B2RTY4_MYO9A,,0.47140452079103173
B2RUZ4_SMIM1,0.0,0.3333333333333333
B4DJY2_TMEM233,,
B7ZBB8_PPP1R3G,,0.24743582965269678
C9JLR9_C11orf95,,
C9JLW8_MCRIP1,0.16666666666666666,0.37749172176353746
E9PAV3_NACA,,
O00116_AGPS,0.692820323027551,0.47140452079103173
O00139_KIF2A,0.6060915267313264,
O00151_PDLIM1,0.15745916432444343,0.5677270907634908
O00159_MYO1C,,
O00161_SNAP23,0.13323467750529827,0.3464101615137754
O00167_EYA2,,
O00178_GTPBP1,0.37749172176353746,0.4831339020881672
O00186_STXBP3,,
O00192_ARVCF,0.3535533905932738,0.45069390943299864
O00193_SMAP,0.4165977904505309,0.15745916432444343
O00203_AP3B1,0.32923917977664807,0.4938181170261107
O00204_SULT2B1,0.47140452079103173,
O00231_PSMD11,0.0,
O00233_PSMD9,,
O00244_ATOX1,,
O00255_MEN1,0.8660254037844386,0.57282196186948
O00257_CBX4,,
O00264_PGRMC1,0.08361624588263546,0.12199513309964459
O00267_SUPT5H,0.0,0.5
O00273_DFFA,0.10188534162169867,0.12371791482634839
O00291_HIP1,,
O00299_CLIC1,0.0,
O00303_EIF3F,,
O00327_ARNTL,,0.3464101615137754
O00330_PDHX,,
O00358_FOXE1,0.6863485850246137,0.4330127018922193
O00391_QSOX1,,
O00400_SLC33A1,,0.47140452079103173
O00401_WASL,,
O00409_FOXN3,,
O00410_IPO5,0.47140452079103173,0.9643650760992953
O00418_EEF2K,0.2,0.4
O00423_EML1,0.24743582965269678,0.3464101615137754
O00429_DNM1L,0.34641016151377546,0.385694607919935
O00443_PIK3C2A,,
O00453_LST1,0.0,
O00458_IFRD1,,
O00459_PIK3R2,0.7071067811865476,
O00461_GOLIM4,,
O00468_AGRN,,
O00470_MEIS1,0.0,0.0
O00481_BTN3A1,,
O00499_BIN1,0.20351933162035313,0.3882182844550932
O00501_CLDN5,,0.47140452079103173
O00505_KPNA3,0.8660254037844386,0.2165063509461097
O00506_STK25,0.0,
O00512_BCL9,0.5,0.32732683535398854
O00515_LAD1,,0.565685424949238
O00522_KRIT1,,
O00559_EBAG9,0.47186465220442186,0.28641098093474
O00560_SDCBP,0.0,0.47140452079103173
O00562_PITPNM1,0.49487165930539345,0.565685424949238
O00566_MPHOSPH10,0.47140452079103173,0.282842712474619
O00567_NOP56,0.6244997998398399,0.7050116453778216
O00592_PODXL,0.0,
O00629_KPNA4,,0.282842712474619
O00712_NFIB,0.13323467750529824,0.31491832864888675
O14493_CLDN4,,
O14494_PLPP1,,
O14495_PLPP3,0.3333333333333333,0.13323467750529827
O14497_ARID1A,0.3464101615137755,0.21314305557934138
O14523_C2CD2L,,0.0
O14526_FCHO1,,
O14545_TRAFD1,0.28641098093474,0.25
O14558_HSPB6,0.44095855184409843,0.20829889522526546
O14562_UBFD1,,
